date,score,nbTurn
Mon Mar 05 19:31:52 2018,649,72
Mon Mar 05 19:31:52 2018,723,81
Mon Mar 05 19:31:52 2018,76,14
Mon Mar 05 19:31:52 2018,419,46
Mon Mar 05 19:31:52 2018,651,74
Mon Mar 05 19:31:52 2018,440,49
Mon Mar 05 19:31:52 2018,186,27
Mon Mar 05 19:31:52 2018,176,23
Mon Mar 05 19:31:52 2018,763,77
Mon Mar 05 19:31:52 2018,629,68
Mon Mar 05 19:31:52 2018,436,52
Mon Mar 05 19:31:52 2018,450,52
Mon Mar 05 19:31:52 2018,1226,108
Mon Mar 05 19:31:52 2018,1010,99
Mon Mar 05 19:31:52 2018,94,14
Mon Mar 05 19:31:52 2018,58,10
Mon Mar 05 19:31:53 2018,236,28
Mon Mar 05 19:31:53 2018,316,35
Mon Mar 05 19:31:53 2018,488,48
Mon Mar 05 19:31:53 2018,624,52
Mon Mar 05 19:31:53 2018,457,52
Mon Mar 05 19:31:53 2018,900,85
Mon Mar 05 19:31:53 2018,310,33
Mon Mar 05 19:31:53 2018,138,22
Mon Mar 05 19:31:53 2018,673,64
Mon Mar 05 19:31:53 2018,287,34
Mon Mar 05 19:31:53 2018,549,62
Mon Mar 05 19:31:53 2018,1717,147
Mon Mar 05 19:31:53 2018,401,47
Mon Mar 05 19:31:53 2018,468,51
Mon Mar 05 19:31:53 2018,334,39
Mon Mar 05 19:31:53 2018,246,26
Mon Mar 05 19:31:53 2018,633,56
Mon Mar 05 19:31:53 2018,402,43
Mon Mar 05 19:31:53 2018,154,22
Mon Mar 05 19:31:54 2018,577,61
Mon Mar 05 19:31:54 2018,216,30
Mon Mar 05 19:31:54 2018,558,63
Mon Mar 05 19:31:54 2018,233,23
Mon Mar 05 19:31:54 2018,493,51
Mon Mar 05 19:31:54 2018,373,43
Mon Mar 05 19:31:54 2018,99,13
Mon Mar 05 19:31:54 2018,159,23
Mon Mar 05 19:31:54 2018,770,78
Mon Mar 05 19:31:54 2018,613,61
Mon Mar 05 19:31:54 2018,228,33
Mon Mar 05 19:31:54 2018,882,76
Mon Mar 05 19:31:54 2018,551,56
Mon Mar 05 19:31:54 2018,427,50
Mon Mar 05 19:31:54 2018,183,25
Mon Mar 05 19:31:54 2018,1198,114
Mon Mar 05 19:31:54 2018,1498,123
Mon Mar 05 19:31:54 2018,585,64
Mon Mar 05 19:31:54 2018,479,53
Mon Mar 05 19:31:54 2018,535,61
Mon Mar 05 19:31:54 2018,607,54
Mon Mar 05 19:31:54 2018,473,53
Mon Mar 05 19:31:55 2018,990,90
Mon Mar 05 19:31:55 2018,216,32
Mon Mar 05 19:31:55 2018,1467,130
Mon Mar 05 19:31:55 2018,388,44
Mon Mar 05 19:31:55 2018,239,27
Mon Mar 05 19:31:55 2018,1541,135
Mon Mar 05 19:31:55 2018,1521,128
Mon Mar 05 19:31:55 2018,822,78
Mon Mar 05 19:31:55 2018,548,55
Mon Mar 05 19:31:55 2018,1347,125
Mon Mar 05 19:31:55 2018,287,28
Mon Mar 05 19:31:55 2018,179,22
Mon Mar 05 19:31:55 2018,920,84
Mon Mar 05 19:31:55 2018,425,52
Mon Mar 05 19:31:55 2018,739,76
Mon Mar 05 19:31:55 2018,302,29
Mon Mar 05 19:31:56 2018,1499,126
Mon Mar 05 19:31:56 2018,515,49
Mon Mar 05 19:31:56 2018,661,74
Mon Mar 05 19:31:56 2018,292,32
Mon Mar 05 19:31:56 2018,946,90
Mon Mar 05 19:31:56 2018,687,71
Mon Mar 05 19:31:56 2018,148,19
Mon Mar 05 19:31:56 2018,1299,115
Mon Mar 05 19:31:56 2018,819,83
Mon Mar 05 19:31:56 2018,644,76
Mon Mar 05 19:31:56 2018,788,67
Mon Mar 05 19:31:56 2018,152,19
Mon Mar 05 19:31:56 2018,200,27
Mon Mar 05 19:31:56 2018,168,27
Mon Mar 05 19:31:56 2018,534,69
Mon Mar 05 19:31:56 2018,255,32
Mon Mar 05 19:31:56 2018,601,67
Mon Mar 05 19:31:56 2018,282,39
Mon Mar 05 19:31:56 2018,489,55
Mon Mar 05 19:31:56 2018,1119,100
Mon Mar 05 19:31:57 2018,272,34
Mon Mar 05 19:31:57 2018,974,85
Mon Mar 05 19:31:57 2018,942,90
Mon Mar 05 19:31:57 2018,281,39
Mon Mar 05 19:31:57 2018,721,84
Mon Mar 05 19:31:57 2018,543,51
Mon Mar 05 19:31:57 2018,274,29
